x_mm,y_mm,speed_mms,distance_mm,angle_deg
376.33,2442.67,-160.0,2469.57,8.87
382.0,2441.0,-80.0,2470.66,9.04
389.67,2442.33,80.0,2479.48,9.28
401.0,2446.0,160.0,2485.89,9.61
415.0,2450.33,240.0,2490.4,9.94
430.33,2453.67,320.0,2497.15,10.29
445.67,2456.33,240.0,2501.84,10.62
462.33,2459.33,160.0,2508.35,11.03
489.67,2464.0,-240.0,2526.78,12.06
521.67,2465.67,480.0,2526.17,12.74
550.33,2465.67,240.0,2526.22,12.95
564.0,2462.33,-80.0,2525.92,13.02
569.67,2460.0,160.0,2523.16,13.15
573.33,2456.0,80.0,2517.03,13.25
577.67,2449.33,160.0,2509.42,13.41
582.0,2441.33,0.0,2502.81,13.56
586.33,2434.67,320.0,2500.6,13.65
589.33,2429.33,320.0,2495.98,13.7
590.67,2426.67,160.0,2495.98,13.7
590.67,2424.0,390.0,2492.83,13.69
