x_mm,y_mm,speed_mms,distance_mm,angle_deg
410.3,741.2,-160.0,838.1,26.2
399.6,743.4,-160.0,827.12,23.59
384.6,746.6,-160.0,819.42,20.2
364.9,750.5,-240.0,810.61,16.56
333.9,755.8,-160.0,799.03,8.13
292.5,762.3,-240.0,803.01,0.29
242.2,768.6,-240.0,807.15,-6.47
183.4,774.6,-320.0,821.86,-12.94
116.7,780.2,-390.0,846.24,-18.82
43.4,786.0,-390.0,878.71,-23.47
-35.6,792.4,-390.0,917.75,-27.24
-116.8,799.9,-480.0,961.9,-30.0
-198.5,808.2,-480.0,1005.51,-32.08
-280.1,817.4,-480.0,1047.56,-33.95
-354.9,827.3,-390.0,1093.31,-35.51
-424.0,837.4,-320.0,1135.42,-37.23
-488.0,849.4,-320.0,1176.62,-38.41
-547.4,862.4,-390.0,1213.28,-39.88
-601.0,877.0,-160.0,1245.51,-40.51
-648.8,892.7,-80.0,1270.02,-40.69
