x_mm,y_mm,speed_mms,distance_mm,angle_deg
-51.9,985.6,-240.0,1035.15,11.87
9.9,988.7,-240.0,1048.99,14.41
69.3,992.7,-240.0,1063.78,17.06
125.9,997.6,-160.0,1081.0,19.34
179.3,1001.6,-390.0,1085.39,21.62
230.7,1003.0,-390.0,1085.41,24.2
279.8,1002.5,-80.0,1090.34,26.12
326.7,1000.6,-320.0,1099.18,28.06
370.5,998.2,-160.0,1115.69,29.71
413.0,995.1,-240.0,1134.15,31.41
455.0,991.1,-80.0,1160.78,33.05
494.0,987.6,80.0,1177.35,33.57
528.5,984.5,80.0,1184.84,33.68
558.1,980.8,0.0,1180.68,33.64
583.3,978.1,80.0,1178.74,33.58
603.8,977.3,160.0,1177.63,33.5
620.2,977.7,80.0,1175.17,33.23
632.4,979.1,80.0,1173.28,33.0
640.8,980.9,80.0,1174.71,32.84
645.1,983.1,0.0,1175.61,32.64
