x_mm,y_mm,speed_mms,distance_mm,angle_deg
-172.7,1982.9,-160.0,2283.91,-5.6
-183.7,2037.0,-160.0,2218.85,-5.12
-193.8,2084.6,-160.0,2181.77,-4.84
-202.3,2124.9,-160.0,2149.89,-4.59
-206.4,2153.7,0.0,2130.32,-4.42
-205.5,2170.6,0.0,2116.98,-4.31
-198.4,2179.5,0.0,2104.53,-3.76
-185.0,2178.5,0.0,2099.15,-3.14
-168.5,2165.0,0.0,2096.89,-2.43
-150.7,2142.0,0.0,2095.01,-1.78
-132.8,2124.0,0.0,2093.46,-1.2
-115.5,2112.2,0.0,2092.15,-0.68
-97.9,2103.9,0.0,2091.02,-0.22
-80.1,2098.6,0.0,2090.01,0.16
-61.7,2095.2,0.0,2090.1,0.55
-43.5,2095.9,-80.0,2118.12,0.62
-26.7,2106.7,-80.0,2208.2,0.78
-12.0,2125.4,320.0,2283.22,0.8
0.2,2150.4,160.0,2345.23,0.81
9.9,2177.1,-80.0,2361.22,0.78
