x_mm,y_mm,speed_mms,distance_mm,angle_deg
578.7,1189.4,0.0,1346.01,27.86
588.0,1190.4,0.0,1354.04,28.5
598.5,1190.8,0.0,1363.1,29.1
610.1,1190.6,0.0,1370.96,29.69
623.0,1190.3,0.0,1379.31,30.21
637.4,1190.1,0.0,1386.92,30.74
652.8,1190.4,0.0,1394.98,31.22
668.6,1190.9,0.0,1402.29,31.71
684.2,1191.5,0.0,1410.01,32.13
698.9,1191.9,0.0,1413.98,32.46
712.6,1192.2,0.0,1417.75,32.7
724.8,1192.7,0.0,1420.51,32.73
735.1,1193.4,0.0,1421.96,32.59
743.9,1194.2,0.0,1423.34,32.61
751.4,1194.8,0.0,1423.57,32.7
758.0,1195.0,0.0,1423.47,32.99
764.0,1194.6,0.0,1423.66,33.37
769.4,1193.7,0.0,1423.92,33.75
774.2,1192.1,0.0,1422.85,34.11
778.9,1190.1,0.0,1423.22,34.49
