x_mm,y_mm,speed_mms,distance_mm,angle_deg
191.0,2169.0,0.0,2147.06,5.26
197.0,2139.0,0.0,2118.75,5.5
203.0,2110.0,0.0,2093.46,5.73
208.33,2084.0,0.0,2070.98,5.9
213.33,2060.67,0.0,2050.62,6.1
217.67,2039.67,0.0,2032.16,6.27
221.67,2020.33,0.0,2014.6,6.41
225.0,2003.0,0.0,2000.04,6.55
228.0,1987.33,0.0,1986.48,6.68
230.33,1976.0,0.0,1981.63,6.72
232.0,1968.33,0.0,1977.77,6.77
233.0,1964.0,0.0,1973.92,6.81
234.0,1960.0,0.0,1970.07,6.85
234.67,1956.0,0.0,1966.09,6.86
235.33,1952.0,0.0,1962.24,6.91
235.67,1949.33,0.0,1962.24,6.91
236.0,1948.0,0.0,1962.24,6.91
236.67,1948.67,390.0,1964.47,6.96
238.0,1950.67,390.0,1968.68,7.0
239.33,1956.0,790.0,1978.61,6.97
