x_mm,y_mm,speed_mms,distance_mm,angle_deg
72.6,1139.2,-320.0,1162.35,-15.88
-7.1,1136.0,-390.0,1181.15,-19.85
-90.9,1132.3,-480.0,1209.22,-23.49
-174.8,1128.2,-480.0,1239.68,-26.65
-258.7,1125.7,-480.0,1288.52,-29.27
-340.8,1124.4,-480.0,1326.91,-31.28
-420.1,1124.4,-390.0,1361.34,-32.98
-496.1,1126.1,-390.0,1395.46,-34.43
-565.0,1129.9,-480.0,1425.56,-34.77
-626.9,1135.0,-480.0,1455.89,-35.72
-685.8,1141.3,-480.0,1489.1,-37.52
-741.2,1149.6,-240.0,1528.94,-38.65
-794.3,1158.1,-560.0,1565.82,-40.31
-844.5,1168.1,-240.0,1605.81,-41.21
-893.4,1177.3,-390.0,1652.52,-42.62
-940.9,1187.3,-160.0,1696.36,-43.33
-987.5,1198.2,-480.0,1738.35,-43.97
-1031.0,1210.7,-320.0,1768.15,-43.81
-1073.2,1224.1,-320.0,1796.73,-43.42
-1111.1,1239.1,-160.0,1812.36,-42.7
