x_mm,y_mm,speed_mms,distance_mm,angle_deg
-912.7,1003.3,160.0,1370.59,-42.9
-920.2,1003.5,160.0,1370.01,-42.75
-926.1,1003.1,160.0,1366.57,-42.66
-929.3,1002.8,80.0,1363.18,-42.5
-930.1,1002.7,0.0,1359.81,-42.35
-928.4,1002.8,0.0,1355.03,-42.19
-924.9,1003.4,0.0,1351.91,-41.85
-920.2,1004.7,-80.0,1347.59,-41.39
-914.4,1006.8,-80.0,1346.49,-40.75
-907.3,1009.8,-80.0,1345.8,-40.0
-899.0,1013.4,80.0,1343.17,-39.26
-889.4,1017.5,160.0,1338.57,-38.54
-878.4,1022.5,160.0,1333.75,-37.72
-865.9,1028.2,240.0,1327.2,-36.85
-851.8,1034.5,240.0,1319.56,-35.97
-836.1,1041.5,240.0,1311.67,-35.03
-818.8,1048.8,160.0,1303.01,-34.02
-795.5,1057.3,80.0,1278.35,-30.98
-765.7,1066.6,80.0,1255.52,-27.57
-730.1,1075.6,80.0,1231.15,-24.42
