x_mm,y_mm,speed_mms,distance_mm,angle_deg
-1262.3,1517.3,80.0,1856.53,-46.16
-1293.5,1477.5,240.0,1830.06,-47.3
-1320.3,1435.8,160.0,1831.99,-48.5
-1344.5,1390.5,240.0,1836.7,-50.39
-1364.2,1343.1,-80.0,1829.65,-51.86
-1381.4,1297.7,80.0,1837.03,-52.79
-1394.4,1253.4,-80.0,1843.81,-53.34
-1405.3,1212.7,-80.0,1851.29,-53.7
-1418.2,1179.3,-80.0,1854.73,-53.82
-1434.3,1153.9,-80.0,1858.18,-53.93
-1451.8,1133.1,560.0,1858.57,-54.55
-1468.6,1114.0,480.0,1841.65,-55.24
-1481.2,1094.5,390.0,1811.73,-55.77
-1487.1,1073.1,320.0,1757.42,-57.01
-1487.5,1051.3,240.0,1707.04,-57.71
-1483.1,1027.3,320.0,1664.99,-58.46
-1474.8,1000.5,320.0,1625.64,-59.18
-1462.9,970.9,320.0,1589.07,-59.77
-1448.6,938.5,320.0,1558.13,-60.34
-1431.1,904.4,640.0,1525.76,-60.43
