x_mm,y_mm,speed_mms,distance_mm,angle_deg
-296.2,1993.2,320.0,1774.84,-7.41
-288.6,1944.7,240.0,1716.33,-6.29
-276.6,1895.4,390.0,1658.93,-5.6
-261.3,1843.9,640.0,1612.62,-5.19
-242.8,1791.5,390.0,1570.23,-4.68
-222.4,1737.8,320.0,1529.71,-4.5
-198.5,1689.3,560.0,1501.54,-3.93
-169.2,1650.0,640.0,1514.48,-1.44
-136.3,1616.0,560.0,1522.14,0.79
-102.4,1588.8,480.0,1542.54,2.56
-68.4,1567.5,480.0,1550.98,4.1
-39.6,1545.0,480.0,1484.37,3.86
-14.7,1517.9,320.0,1382.74,3.61
7.6,1484.8,240.0,1277.32,3.46
27.6,1446.6,0.0,1185.19,3.48
45.9,1405.1,-160.0,1111.79,3.25
60.1,1360.3,80.0,1050.72,2.13
64.1,1308.8,320.0,999.0,0.11
57.6,1251.7,320.0,952.02,-2.65
41.5,1186.0,160.0,888.77,-5.94
