x_mm,y_mm,speed_mms,distance_mm,angle_deg
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
-479.9,4982.1,320.0,4990.61,-5.69
