x_mm,y_mm,speed_mms,distance_mm,angle_deg
76.6,1986.0,-560.0,2186.15,0.68
50.4,2084.2,-240.0,2248.04,0.33
30.6,2166.8,-160.0,2287.04,0.33
20.6,2234.6,-640.0,2342.05,0.37
13.4,2293.8,-160.0,2406.0,0.0
6.6,2345.6,80.0,2445.01,-0.19
5.8,2383.8,240.0,2439.02,0.21
10.0,2414.8,-80.0,2442.24,0.8
17.4,2431.6,-80.0,2426.56,1.23
31.8,2431.2,-80.0,2405.08,1.72
51.2,2422.4,-80.0,2402.65,2.12
70.0,2415.4,-80.0,2406.21,2.45
86.4,2408.2,-80.0,2408.79,2.76
101.4,2404.6,-80.0,2411.35,3.02
113.2,2403.0,0.0,2399.58,3.13
121.8,2402.2,0.0,2400.63,3.15
127.0,2404.2,0.0,2417.44,3.06
128.4,2410.0,0.0,2438.1,2.89
122.4,2428.8,0.0,2503.88,2.22
111.0,2462.4,0.0,2565.07,1.65
