x_mm,y_mm,speed_mms,distance_mm,angle_deg
-1747.4,1194.2,320.0,2101.59,-55.21
-1736.4,1196.0,390.0,2090.68,-54.97
-1724.2,1198.4,390.0,2079.33,-54.65
-1705.4,1200.2,720.0,2045.44,-54.01
-1680.4,1202.0,390.0,2014.0,-53.22
-1649.6,1202.4,640.0,1978.28,-52.62
-1613.6,1203.6,320.0,1949.73,-51.79
-1571.2,1203.6,480.0,1910.36,-50.97
-1526.2,1202.2,160.0,1863.58,-50.12
-1469.4,1197.8,80.0,1779.91,-48.3
-1403.0,1192.4,240.0,1707.59,-46.57
-1329.4,1183.8,240.0,1645.44,-45.02
-1248.4,1177.2,320.0,1591.58,-42.68
-1164.8,1173.6,240.0,1552.25,-40.69
-1089.2,1172.4,320.0,1513.96,-38.91
-1020.2,1173.6,240.0,1481.02,-37.18
-954.6,1177.4,240.0,1447.76,-35.27
-893.2,1183.8,-80.0,1428.56,-32.71
-832.6,1191.0,160.0,1405.01,-30.31
-770.4,1201.0,80.0,1384.77,-27.53
