x_mm,y_mm,speed_mms,distance_mm,angle_deg
90.4,1101.8,-320.0,1183.7,8.06
127.2,1135.6,-240.0,1211.99,8.4
154.0,1166.6,-240.0,1235.46,8.14
171.0,1196.4,-390.0,1263.37,8.65
181.4,1224.6,-320.0,1295.38,8.84
188.6,1251.8,-320.0,1323.51,8.78
194.2,1280.0,-560.0,1355.59,8.7
202.8,1307.2,-320.0,1376.37,9.11
209.2,1333.6,-480.0,1398.73,9.13
215.4,1357.8,-1190.0,1419.75,9.32
220.4,1383.8,-480.0,1455.81,8.97
223.6,1411.8,-560.0,1496.41,8.49
221.0,1442.0,-720.0,1523.85,7.73
213.8,1473.2,-720.0,1548.21,6.9
202.4,1510.6,-1190.0,1597.4,6.22
189.2,1555.6,-1280.0,1670.78,5.53
173.8,1611.0,-1760.0,1762.89,4.69
155.2,1683.8,-160.0,1877.34,3.42
131.0,1777.0,-560.0,2004.05,1.86
103.6,1881.4,-640.0,2110.31,0.98
