x_mm,y_mm,speed_mms,distance_mm,angle_deg
-394.7,5108.8,160.0,5152.63,-4.32
-392.8,5114.3,160.0,5171.61,-4.16
-390.3,5121.4,160.0,5185.86,-4.04
-386.9,5129.9,160.0,5199.2,-3.93
-382.4,5139.7,160.0,5211.63,-3.83
-376.9,5150.7,160.0,5224.08,-3.73
-370.3,5162.9,160.0,5235.54,-3.64
-362.8,5176.3,160.0,5247.07,-3.55
-354.3,5190.7,80.0,5263.43,-3.43
-345.0,5205.8,80.0,5281.87,-3.32
-336.3,5220.7,80.0,5295.56,-3.26
-328.6,5235.0,80.0,5309.37,-3.22
-321.6,5249.0,80.0,5321.18,-3.18
-315.3,5262.4,0.0,5329.06,-3.15
-309.7,5275.1,0.0,5335.0,-3.14
-304.5,5286.7,80.0,5336.78,-3.09
-299.5,5297.1,80.0,5336.46,-3.03
-293.1,5305.3,80.0,5325.4,-2.81
-285.3,5310.5,80.0,5311.29,-2.56
-276.1,5312.5,80.0,5297.32,-2.32
