x_mm,y_mm,speed_mms,distance_mm,angle_deg
-220.4,2246.8,-80.0,2263.82,-4.76
-211.2,2252.8,-80.0,2264.66,-4.05
-189.0,2254.2,240.0,2256.73,-3.71
-169.8,2254.0,80.0,2254.6,-3.66
-155.0,2253.4,80.0,2254.17,-3.48
-144.0,2253.2,-80.0,2258.92,-3.38
-137.0,2253.0,0.0,2261.46,-3.17
-131.6,2255.8,-80.0,2269.12,-3.01
-126.6,2263.8,-80.0,2293.09,-2.97
-125.2,2275.0,0.0,2309.66,-3.23
-125.4,2285.6,0.0,2311.89,-3.32
-127.6,2294.6,0.0,2307.01,-3.38
-131.6,2300.2,0.0,2298.21,-3.47
-136.2,2299.4,0.0,2290.41,-3.55
-137.0,2292.6,0.0,2275.95,-3.38
-136.0,2284.4,0.0,2270.67,-3.26
-133.8,2276.2,0.0,2265.45,-3.16
-128.8,2269.2,0.0,2261.87,-2.89
-120.4,2263.0,0.0,2257.22,-2.54
-111.6,2259.2,0.0,2254.8,-2.29
