x_mm,y_mm,speed_mms,distance_mm,angle_deg
361.2,862.3,-880.0,974.05,20.05
354.5,875.5,-880.0,1012.56,18.36
346.4,893.7,-1120.0,1057.84,16.36
336.6,917.1,-1120.0,1105.99,14.45
327.0,944.4,-880.0,1148.91,13.75
316.8,975.8,-1520.0,1194.54,12.77
308.3,1011.8,-1440.0,1249.85,12.76
303.3,1052.6,-1680.0,1313.89,13.42
306.1,1103.0,-1680.0,1439.7,15.1
316.6,1161.9,-1680.0,1554.36,16.67
334.6,1227.9,-1680.0,1656.75,18.07
360.4,1296.8,-1680.0,1747.98,19.27
393.9,1366.6,-1680.0,1826.21,20.28
434.5,1436.1,-1680.0,1893.11,21.12
479.7,1505.6,-1680.0,1950.73,21.82
529.4,1573.9,-1680.0,1998.56,22.38
579.5,1638.5,-1680.0,2020.38,22.62
628.2,1698.6,-1680.0,2039.09,22.86
671.2,1748.9,-1680.0,2057.05,23.04
708.3,1790.5,-1680.0,2072.8,23.21
