x_mm,y_mm,speed_mms,distance_mm,angle_deg
206.7,1375.1,80.0,1387.39,12.78
230.3,1368.9,0.0,1383.73,12.1
249.0,1363.8,160.0,1380.32,11.83
263.4,1359.6,0.0,1374.01,11.59
275.6,1356.2,0.0,1370.07,11.41
284.4,1352.9,80.0,1368.11,11.42
288.8,1349.9,-80.0,1364.77,11.37
287.2,1347.4,-80.0,1363.2,11.25
281.5,1345.4,-80.0,1362.62,11.13
275.5,1343.5,80.0,1360.87,10.97
270.6,1341.8,-80.0,1360.68,10.93
267.2,1340.2,0.0,1361.29,10.84
264.7,1338.9,-160.0,1362.65,10.91
263.0,1338.1,-240.0,1362.84,10.96
260.5,1337.2,-480.0,1356.49,10.45
256.7,1336.1,-320.0,1350.26,9.94
252.2,1335.1,0.0,1346.76,9.57
247.4,1334.1,-80.0,1344.79,9.33
242.9,1333.1,80.0,1344.79,9.33
239.4,1332.3,80.0,1346.76,9.57
