x_mm,y_mm,speed_mms,distance_mm,angle_deg
196.7,788.2,-240.0,932.71,23.71
235.4,802.9,-320.0,956.08,24.93
273.3,817.0,-320.0,979.44,26.04
309.8,831.0,-390.0,1004.02,26.95
344.7,845.0,-390.0,1028.37,27.76
375.7,860.7,-480.0,1053.84,27.71
403.3,878.8,-390.0,1091.72,27.2
427.0,899.0,-390.0,1126.54,26.29
445.9,920.6,-480.0,1151.94,25.12
460.2,944.5,-480.0,1184.91,24.06
470.7,971.5,-480.0,1222.2,23.12
478.5,1001.1,-480.0,1258.54,22.47
484.4,1034.1,-560.0,1305.08,22.01
487.9,1069.7,-480.0,1343.54,21.39
488.3,1108.8,-390.0,1387.76,20.37
486.9,1150.7,-480.0,1433.35,19.4
483.7,1193.9,-480.0,1478.68,18.41
480.9,1240.2,-1760.0,1546.47,17.73
479.9,1290.4,-1760.0,1617.55,17.23
480.3,1343.7,-1760.0,1686.83,16.78
