x_mm,y_mm,speed_mms,distance_mm,angle_deg
-783.3,877.5,480.0,954.29,-39.34
-744.9,843.5,480.0,910.74,-37.86
-704.0,813.6,320.0,866.98,-35.71
-659.6,787.5,80.0,821.4,-31.81
-611.4,765.1,80.0,783.67,-27.68
-560.3,746.4,0.0,755.27,-23.24
-504.8,730.6,-160.0,723.08,-17.13
-447.0,717.8,-240.0,707.09,-12.25
-387.9,708.5,-240.0,701.31,-8.28
-329.2,702.4,-320.0,703.83,-5.14
-271.0,699.6,-320.0,710.37,-1.86
-213.5,699.7,-320.0,720.18,1.27
-157.8,703.2,-240.0,740.76,3.95
-105.5,708.9,-320.0,760.35,6.8
-56.1,716.5,-320.0,780.9,9.58
-8.3,724.7,-480.0,796.6,13.06
35.3,734.6,-320.0,820.87,15.76
76.5,746.3,-390.0,849.42,17.97
116.6,759.6,-320.0,879.73,19.94
156.9,773.8,-320.0,908.98,21.97
