x_mm,y_mm,speed_mms,distance_mm,angle_deg
301.4,800.9,-160.0,854.66,26.03
321.7,788.6,-320.0,866.28,26.09
338.3,780.4,-240.0,878.41,25.78
351.5,777.0,-240.0,891.47,25.44
361.3,778.7,-240.0,904.61,24.98
368.5,784.3,-320.0,919.14,24.56
373.8,792.9,-390.0,933.72,24.15
376.3,803.5,-390.0,943.44,23.22
377.6,816.2,-560.0,958.46,22.58
377.7,831.1,-640.0,981.42,22.15
377.3,848.3,-720.0,1010.56,21.54
376.1,867.7,-790.0,1039.69,20.79
374.6,889.3,-790.0,1071.79,20.02
374.0,917.3,-880.0,1148.63,19.16
372.8,951.2,-1120.0,1216.63,17.71
371.6,991.8,-1120.0,1295.94,16.59
370.5,1039.3,-1120.0,1377.89,15.62
370.6,1093.4,-1120.0,1456.57,14.84
373.5,1155.6,-2390.0,1558.42,14.76
380.0,1228.6,-2320.0,1695.74,14.86
