x_mm,y_mm,speed_mms,distance_mm,angle_deg
204.4,1541.8,-80.0,1540.79,6.78
188.2,1533.2,0.0,1516.93,5.07
161.8,1524.8,160.0,1505.29,3.16
128.0,1515.8,-80.0,1497.56,1.57
81.2,1503.6,-80.0,1477.39,-1.32
22.4,1488.4,-160.0,1458.31,-4.4
-42.2,1472.6,-240.0,1444.42,-7.52
-110.6,1458.2,0.0,1454.25,-10.26
-184.0,1444.6,-160.0,1465.71,-12.85
-255.0,1432.6,160.0,1469.43,-15.35
-321.6,1420.4,80.0,1462.35,-17.72
-381.2,1407.2,-80.0,1450.22,-19.62
-434.6,1390.4,-320.0,1446.06,-21.33
-485.0,1372.6,-160.0,1459.34,-23.33
-531.2,1353.8,-240.0,1461.07,-25.11
-576.8,1337.4,-240.0,1473.65,-27.17
-625.8,1324.4,-240.0,1492.79,-29.36
-678.6,1311.2,-240.0,1505.01,-31.66
-733.6,1296.2,-160.0,1525.72,-33.99
-792.8,1279.8,-160.0,1542.45,-36.43
