x_mm,y_mm,speed_mms,distance_mm,angle_deg
-2694.8,6292.9,160.0,6827.06,-22.99
-2689.3,6291.3,80.0,6826.56,-22.93
-2682.8,6290.4,80.0,6826.6,-22.87
-2675.6,6290.2,80.0,6827.04,-22.81
-2668.3,6290.6,80.0,6828.17,-22.73
-2661.6,6291.2,80.0,6827.16,-22.69
-2655.0,6292.1,80.0,6826.46,-22.61
-2648.4,6293.3,80.0,6825.08,-22.56
-2641.6,6295.0,80.0,6823.26,-22.45
-2633.8,6297.4,80.0,6822.93,-22.34
-2625.2,6300.4,80.0,6821.7,-22.22
-2615.9,6303.7,80.0,6821.43,-22.11
-2606.4,6307.0,80.0,6820.83,-22.03
-2596.7,6310.2,80.0,6819.69,-21.96
-2586.7,6313.3,80.0,6818.92,-21.85
-2576.1,6316.5,80.0,6816.69,-21.76
-2565.3,6319.6,80.0,6814.48,-21.67
-2554.1,6322.8,80.0,6812.65,-21.58
-2543.1,6325.9,80.0,6810.84,-21.5
-2531.7,6328.8,160.0,6807.43,-21.36
