x_mm,y_mm,speed_mms,distance_mm,angle_deg
183.8,2130.8,0.0,2138.61,4.51
176.8,2130.4,160.0,2136.23,4.38
170.6,2129.8,390.0,2134.08,4.33
164.8,2128.8,80.0,2130.72,4.2
160.8,2127.6,-320.0,2128.72,4.2
158.6,2125.4,-320.0,2126.8,4.23
157.4,2123.0,-320.0,2123.81,4.24
156.4,2120.6,320.0,2121.74,4.22
156.0,2118.8,0.0,2121.6,4.16
155.8,2121.6,240.0,2142.61,4.15
155.6,2129.8,240.0,2167.62,4.13
155.0,2143.0,0.0,2189.42,4.03
154.2,2159.2,-240.0,2202.25,3.96
153.8,2175.6,80.0,2203.25,3.96
152.8,2188.0,560.0,2204.11,3.9
151.0,2197.6,240.0,2214.88,3.81
149.0,2205.4,790.0,2227.66,3.71
147.0,2212.6,790.0,2237.51,3.64
145.0,2220.6,790.0,2242.5,3.63
143.0,2228.8,560.0,2244.37,3.58
