x_mm,y_mm,speed_mms,distance_mm,angle_deg
606.0,2362.67,160.0,2439.43,14.19
598.67,2363.67,390.0,2437.24,14.08
594.33,2361.0,390.0,2427.3,14.12
592.0,2352.67,390.0,2413.48,14.17
591.0,2339.33,320.0,2397.72,14.24
589.0,2316.67,320.0,2359.91,14.38
585.67,2285.67,240.0,2320.9,14.5
580.0,2250.0,80.0,2289.85,14.49
572.67,2216.33,80.0,2256.62,14.47
563.67,2185.33,160.0,2224.1,14.42
553.33,2154.0,390.0,2191.09,14.32
543.0,2122.67,320.0,2157.86,14.3
534.0,2091.0,480.0,2125.37,14.36
525.67,2058.67,560.0,2090.92,14.32
517.33,2025.67,480.0,2055.75,14.31
508.67,1990.67,480.0,2017.21,14.38
498.67,1940.67,480.0,1938.18,14.55
489.0,1880.33,320.0,1873.28,14.82
480.33,1813.67,240.0,1817.18,15.15
475.33,1754.33,160.0,1762.38,15.53
