x_mm,y_mm,speed_mms,distance_mm,angle_deg
43.33,2010.67,160.0,2017.62,1.42
49.33,2019.33,390.0,2031.74,1.55
53.0,2036.33,80.0,2061.71,1.5
51.33,2077.0,0.0,2139.47,1.21
45.0,2135.33,160.0,2206.29,0.93
36.0,2206.67,160.0,2275.16,0.68
26.67,2290.0,390.0,2389.06,0.41
23.33,2356.33,320.0,2405.14,0.62
30.67,2400.33,320.0,2407.5,1.17
43.33,2405.0,240.0,2403.63,1.31
55.33,2402.67,390.0,2398.8,1.48
67.0,2394.0,390.0,2382.48,2.02
84.0,2380.0,390.0,2363.38,2.57
105.0,2362.67,390.0,2349.33,3.05
125.33,2349.0,480.0,2344.49,3.55
145.33,2344.67,240.0,2353.86,4.04
162.67,2350.33,240.0,2369.62,4.28
174.33,2359.0,390.0,2372.84,4.35
180.33,2361.67,390.0,2363.17,4.47
184.33,2355.0,240.0,2350.61,4.61
