x_mm,y_mm,speed_mms,distance_mm,angle_deg
99.2,2179.4,640.0,2172.37,2.03
88.4,2173.8,640.0,2161.13,1.86
79.4,2168.8,480.0,2159.04,1.78
73.6,2161.8,640.0,2145.05,1.79
69.0,2154.6,390.0,2140.96,1.71
66.6,2145.0,560.0,2123.99,1.75
66.4,2132.2,390.0,2097.14,1.89
68.4,2115.6,240.0,2076.43,2.13
72.2,2095.8,240.0,2046.81,2.41
76.6,2070.8,640.0,2016.83,2.44
67.8,2042.0,320.0,1979.11,0.61
47.0,2012.6,80.0,1949.31,-1.03
23.2,1986.6,-240.0,1945.45,-1.24
-3.6,1964.4,160.0,1934.6,-1.42
-30.4,1947.6,0.0,1931.6,-1.42
-42.8,1936.0,160.0,1921.44,-1.22
-42.8,1927.0,160.0,1904.32,-1.05
-38.8,1916.8,80.0,1894.13,-0.67
-33.0,1907.4,480.0,1887.1,-0.58
-27.0,1896.8,560.0,1878.09,-0.55
