x_mm,y_mm,speed_mms,distance_mm,angle_deg
-87.0,2894.67,0.0,2902.49,-1.84
-92.67,2899.67,0.0,2904.65,-1.93
-93.67,2897.0,0.0,2888.4,-1.79
-87.33,2884.0,0.0,2862.96,-1.48
-55.0,2847.67,0.0,2794.0,-0.02
25.0,2770.67,0.0,2660.23,3.23
147.33,2659.67,0.0,2545.92,6.61
289.0,2534.0,0.0,2453.91,9.95
419.0,2421.33,0.0,2380.07,13.11
535.0,2322.67,0.0,2323.18,16.02
636.33,2237.0,0.0,2279.38,18.63
719.0,2167.33,0.0,2251.41,20.49
739.0,2133.67,0.0,2244.29,18.2
661.0,2152.0,0.0,2269.42,12.57
661.0,2152.0,0.0,2269.42,12.57
661.0,2152.0,0.0,2269.42,12.57
661.0,2152.0,0.0,2269.42,12.57
661.0,2152.0,0.0,2269.42,12.57
661.0,2152.0,0.0,2269.42,12.57
661.0,2152.0,0.0,2269.42,12.57
