x_mm,y_mm,speed_mms,distance_mm,angle_deg
-869.67,623.67,240.0,1038.86,-53.77
-838.67,608.67,640.0,1003.82,-53.51
-806.0,588.67,640.0,951.61,-54.32
-772.67,554.0,720.0,897.08,-55.35
-737.0,513.67,720.0,846.51,-55.78
-699.67,479.33,560.0,800.77,-55.64
-658.33,456.33,480.0,755.96,-54.31
-611.0,435.33,560.0,694.21,-53.49
-557.33,412.0,390.0,629.22,-52.62
-500.0,384.33,160.0,568.8,-50.99
-441.0,360.67,0.0,511.98,-48.09
-381.0,346.0,-160.0,465.45,-43.43
-319.67,340.67,-320.0,428.4,-37.03
-258.67,344.67,-390.0,405.61,-29.22
-198.67,355.67,-480.0,396.54,-20.67
-140.0,372.0,-560.0,399.51,-11.84
-83.0,392.0,-480.0,414.88,-3.73
-29.0,414.67,-390.0,439.55,2.87
20.67,440.0,-390.0,471.78,8.16
65.33,467.33,-390.0,507.41,12.17
