x_mm,y_mm,speed_mms,distance_mm,angle_deg
105.67,496.67,-390.0,546.06,15.18
139.33,528.67,-390.0,587.53,16.62
167.33,561.33,-480.0,623.95,17.83
192.33,596.33,-560.0,668.54,19.03
216.0,633.33,-480.0,715.12,19.52
240.0,672.33,-560.0,758.08,20.3
266.67,711.33,-560.0,806.1,21.7
295.0,752.33,-320.0,860.34,22.12
320.67,799.33,-240.0,917.34,21.76
336.0,846.33,-320.0,954.17,21.13
343.0,888.0,-320.0,984.43,20.52
344.33,923.67,-320.0,1018.83,19.73
347.0,963.0,-390.0,1067.69,19.25
356.0,1009.33,-480.0,1124.32,19.32
374.0,1059.0,-560.0,1177.31,19.76
397.67,1109.0,-480.0,1232.84,20.07
420.33,1156.0,-480.0,1280.0,20.11
438.33,1199.67,-320.0,1318.87,20.04
451.0,1238.0,-320.0,1353.9,19.91
459.0,1273.33,-320.0,1387.86,19.53
