x_mm,y_mm,speed_mms,distance_mm,angle_deg
-1478.4,1026.4,480.0,1781.53,-55.66
-1474.8,1015.6,640.0,1773.72,-55.8
-1470.8,1006.0,390.0,1767.34,-55.82
-1466.0,998.0,790.0,1757.06,-55.9
-1460.0,990.4,560.0,1741.5,-56.07
-1447.8,975.4,720.0,1689.08,-56.59
-1427.4,954.8,-240.0,1631.7,-56.78
-1397.2,931.8,-790.0,1577.85,-56.19
-1350.4,903.8,320.0,1484.88,-55.31
-1290.8,870.4,320.0,1401.3,-54.94
-1227.0,840.4,390.0,1341.15,-54.44
-1159.6,812.6,320.0,1275.46,-53.71
-1090.6,785.8,80.0,1219.3,-52.4
-1027.2,763.8,0.0,1165.09,-50.89
-966.4,751.6,160.0,1124.36,-48.57
-902.6,751.4,-80.0,1096.73,-44.74
-840.0,760.2,160.0,1072.21,-41.82
-778.0,772.6,240.0,1039.22,-39.14
-717.2,787.6,160.0,1008.02,-36.53
-656.0,800.6,240.0,971.0,-33.58
