x_mm,y_mm,speed_mms,distance_mm,angle_deg
641.1,2270.7,-2320.0,2467.15,15.71
649.2,2302.0,-2320.0,2479.52,15.7
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
655.7,2327.4,-2320.0,2489.69,15.68
