x_mm,y_mm,speed_mms,distance_mm,angle_deg
310.6,2025.8,1760.0,2534.11,6.66
306.4,2141.5,1760.0,2596.58,6.48
302.8,2249.3,1760.0,2649.03,6.31
299.7,2346.1,1760.0,2692.66,6.18
297.1,2429.6,1760.0,2711.45,6.12
295.0,2500.4,1760.0,2729.34,6.08
293.2,2559.6,1760.0,2744.15,6.02
291.8,2608.7,1760.0,2759.07,5.99
290.7,2648.9,1760.0,2772.0,5.96
290.7,2648.9,1760.0,2772.0,5.96
290.7,2648.9,1760.0,2772.0,5.96
290.7,2648.9,1760.0,2772.0,5.96
290.7,2648.9,1760.0,2772.0,5.96
290.7,2648.9,1760.0,2772.0,5.96
290.7,2648.9,1760.0,2772.0,5.96
290.7,2648.9,1760.0,2772.0,5.96
290.7,2648.9,1760.0,2772.0,5.96
290.7,2648.9,1760.0,2772.0,5.96
290.7,2648.9,1760.0,2772.0,5.96
290.7,2648.9,1760.0,2772.0,5.96
