x_mm,y_mm,speed_mms,distance_mm,angle_deg
425.0,1373.33,80.0,1443.89,17.24
427.67,1376.33,80.0,1441.62,17.35
430.33,1376.33,80.0,1440.61,17.49
432.33,1372.67,0.0,1435.19,17.6
434.0,1368.33,0.0,1430.73,17.7
435.0,1363.33,0.0,1427.23,17.79
436.0,1358.67,0.0,1422.77,17.89
437.33,1353.67,0.0,1417.68,18.04
439.0,1348.67,0.0,1414.5,18.17
441.0,1344.67,0.0,1413.23,18.27
443.0,1341.0,0.0,1409.11,18.41
444.0,1336.33,0.0,1402.15,18.46
444.67,1330.67,80.0,1397.73,18.56
445.67,1326.0,0.0,1396.79,18.71
448.0,1323.67,0.0,1397.76,18.82
451.33,1322.33,0.0,1397.16,19.01
453.67,1319.33,0.0,1390.55,19.1
454.33,1313.33,0.0,1381.39,19.14
453.0,1305.67,0.0,1374.12,19.16
451.0,1300.0,0.0,1372.52,19.1
