x_mm,y_mm,speed_mms,distance_mm,angle_deg
440.1,1399.3,80.0,1367.51,19.26
442.7,1374.7,80.0,1359.96,19.37
445.1,1350.6,0.0,1351.47,19.49
447.3,1329.5,0.0,1345.28,19.77
449.1,1311.4,0.0,1339.04,19.91
450.5,1296.2,0.0,1333.4,20.0
451.9,1283.8,0.0,1327.42,20.05
453.2,1273.3,0.0,1321.19,20.19
454.0,1264.6,0.0,1315.9,20.32
454.3,1257.5,0.0,1309.58,20.33
454.7,1250.5,0.0,1303.02,20.44
455.0,1243.6,0.0,1296.11,20.5
455.2,1237.0,0.0,1290.14,20.56
455.0,1230.5,0.0,1283.59,20.67
454.9,1224.1,0.0,1278.69,20.84
455.0,1217.6,0.0,1272.87,21.04
455.1,1211.1,0.0,1266.91,21.1
455.0,1204.9,0.0,1262.82,21.12
454.7,1198.9,-80.0,1258.73,21.14
454.5,1193.1,-80.0,1254.64,21.17
