x_mm,y_mm,speed_mms,distance_mm,angle_deg
-1309.2,920.3,720.0,1301.8,-49.24
-1250.6,905.1,720.0,1225.41,-47.75
-1186.1,886.3,790.0,1145.37,-46.8
-1115.9,864.1,560.0,1062.85,-45.65
-1039.7,838.8,480.0,983.72,-44.05
-962.0,812.8,390.0,910.69,-41.88
-882.4,787.2,160.0,847.87,-38.78
-800.9,763.7,-80.0,800.82,-34.62
-721.5,743.1,-160.0,760.95,-29.7
-644.2,723.2,-240.0,729.13,-24.21
-567.7,705.7,-320.0,710.26,-18.13
-491.5,691.2,-320.0,694.31,-12.05
-415.5,681.6,-320.0,692.08,-6.22
-340.5,676.8,-320.0,695.07,-0.82
-267.2,676.8,-320.0,708.7,3.96
-196.4,681.1,-160.0,727.9,7.9
-128.0,688.4,-320.0,749.78,11.77
-63.6,697.0,0.0,768.6,14.24
-4.4,706.3,160.0,784.05,15.92
48.4,715.2,240.0,788.01,16.89
