x_mm,y_mm,speed_mms,distance_mm,angle_deg
921.0,1351.0,160.0,1635.07,34.28
920.0,1350.0,240.0,1633.68,34.27
921.0,1343.0,320.0,1628.46,34.44
922.0,1338.0,390.0,1624.91,34.57
919.0,1333.0,480.0,1619.09,34.58
914.0,1328.0,560.0,1612.14,34.54
908.0,1323.0,720.0,1604.62,34.46
902.0,1316.0,640.0,1595.45,34.43
895.0,1307.0,640.0,1584.07,34.4
887.0,1298.0,560.0,1572.12,34.35
858.0,1268.0,560.0,1531.01,34.08
823.0,1247.0,390.0,1494.1,33.42
787.0,1225.0,390.0,1456.02,32.72
749.0,1202.0,320.0,1416.26,31.93
683.0,1164.0,390.0,1349.59,30.4
620.0,1130.0,390.0,1288.91,28.75
542.0,1102.0,160.0,1228.07,26.19
452.0,1079.0,160.0,1169.85,22.73
368.0,1057.0,160.0,1119.23,19.2
294.0,1037.0,80.0,1077.87,15.83
