x_mm,y_mm,speed_mms,distance_mm,angle_deg
-1365.0,992.0,560.0,1687.39,-53.99
-1348.0,957.0,640.0,1653.16,-54.63
-1311.0,917.0,320.0,1599.88,-55.03
-1291.0,903.0,240.0,1575.47,-55.03
-1268.0,881.0,480.0,1544.02,-55.21
-1234.0,852.0,640.0,1499.55,-55.38
-1163.0,793.0,640.0,1407.63,-55.71
-1100.0,738.0,320.0,1324.63,-56.14
-1041.0,690.0,240.0,1248.91,-56.46
-984.0,656.0,240.0,1182.62,-56.31
-928.0,636.0,240.0,1125.02,-55.58
-870.0,641.0,160.0,1080.64,-53.62
-822.0,644.0,240.0,1044.23,-51.92
-774.0,646.0,320.0,1008.16,-50.15
-722.0,647.0,240.0,969.48,-48.14
-663.0,653.0,240.0,930.58,-45.44
-596.0,662.0,240.0,890.76,-42.0
-517.0,679.0,80.0,853.42,-37.29
-420.0,703.0,-560.0,818.91,-30.86
-324.0,737.0,-390.0,805.07,-23.73
