x_mm,y_mm,speed_mms,distance_mm,angle_deg
264.6,1356.6,-480.0,1460.81,12.53
291.6,1390.6,-240.0,1501.05,12.58
307.0,1426.4,-390.0,1539.57,11.81
315.8,1464.2,-80.0,1575.63,11.68
318.0,1506.6,-720.0,1622.28,11.09
316.2,1548.2,-80.0,1662.77,10.67
311.0,1588.0,-240.0,1691.0,10.25
304.0,1627.4,-1040.0,1726.85,9.33
293.8,1664.4,-640.0,1748.66,8.82
284.4,1697.8,-790.0,1778.85,8.57
275.2,1730.0,-1120.0,1814.02,8.3
266.0,1766.6,-1190.0,1864.52,7.86
258.8,1809.6,-1760.0,1934.45,7.25
250.2,1864.2,-1520.0,2013.61,6.42
238.2,1931.4,-960.0,2105.01,5.59
222.4,2009.8,-390.0,2194.64,4.78
204.0,2096.0,-390.0,2283.82,4.09
187.4,2181.0,-160.0,2349.52,3.93
179.2,2256.0,-160.0,2383.11,4.43
179.2,2317.6,-1760.0,2411.73,4.88
