x_mm,y_mm,speed_mms,distance_mm,angle_deg
-595.5,1035.6,-480.0,1357.97,-38.21
-657.2,1040.0,-390.0,1399.97,-39.58
-714.7,1045.9,-480.0,1440.15,-41.11
-768.2,1054.6,-320.0,1485.78,-41.84
-818.9,1064.5,-480.0,1528.35,-42.93
-869.7,1073.8,-320.0,1568.38,-44.74
-920.3,1081.8,-240.0,1601.94,-46.19
-971.1,1088.2,-240.0,1634.4,-47.6
-1018.2,1094.8,160.0,1645.64,-47.54
-1058.2,1101.9,160.0,1638.28,-46.58
-1092.9,1107.9,240.0,1636.8,-46.49
-1122.4,1112.6,320.0,1636.11,-46.51
-1146.2,1116.5,390.0,1633.28,-46.51
-1165.3,1118.1,480.0,1630.41,-46.47
-1179.0,1118.4,480.0,1626.83,-46.39
-1185.8,1119.1,390.0,1621.8,-46.27
-1186.6,1120.2,240.0,1615.33,-46.1
-1181.4,1121.9,240.0,1608.16,-45.91
-1174.6,1122.7,320.0,1601.71,-45.68
-1169.2,1122.1,320.0,1595.27,-45.41
