x_mm,y_mm,speed_mms,distance_mm,angle_deg
-1217.3,1199.2,-160.0,1834.64,-50.17
-1263.0,1197.5,-80.0,1870.25,-50.45
-1305.0,1196.3,0.0,1886.35,-50.81
-1342.0,1195.5,80.0,1910.76,-50.67
-1375.0,1195.4,80.0,1922.87,-50.89
-1403.7,1195.1,160.0,1924.22,-51.27
-1429.2,1194.6,160.0,1922.38,-51.72
-1451.6,1193.0,320.0,1921.72,-52.08
-1470.5,1190.9,240.0,1921.51,-52.53
-1485.9,1188.5,390.0,1914.83,-52.79
-1497.9,1184.8,480.0,1906.01,-53.34
-1506.9,1177.1,480.0,1894.21,-53.98
-1513.8,1166.8,560.0,1878.8,-54.58
-1519.2,1152.0,720.0,1864.67,-55.24
-1522.5,1134.4,790.0,1844.18,-55.78
-1523.7,1116.4,480.0,1826.95,-55.91
-1522.0,1099.6,390.0,1809.03,-55.56
-1517.0,1084.1,390.0,1789.37,-55.01
-1508.1,1069.3,880.0,1761.97,-54.59
-1495.8,1052.9,720.0,1718.62,-54.66
