x_mm,y_mm,speed_mms,distance_mm,angle_deg
-1300.0,918.4,640.0,1516.0,-56.35
-1280.4,883.6,480.0,1471.07,-56.17
-1250.4,850.4,640.0,1409.25,-55.9
-1209.0,818.4,480.0,1342.89,-55.22
-1157.8,793.6,240.0,1279.94,-53.96
-1101.0,773.2,80.0,1225.21,-52.96
-1041.0,756.4,-80.0,1179.11,-51.44
-982.6,745.6,-80.0,1143.38,-49.93
-929.6,743.4,0.0,1127.95,-47.98
-881.6,750.4,-160.0,1119.36,-45.25
-836.0,765.4,-160.0,1106.11,-42.69
-792.0,787.0,-80.0,1097.02,-39.79
-747.4,816.2,-80.0,1096.83,-36.47
-701.2,848.8,-80.0,1100.53,-33.47
-653.2,880.8,-80.0,1098.51,-30.35
-603.6,912.2,0.0,1092.2,-27.36
-550.4,942.2,-160.0,1084.5,-23.71
-494.2,971.4,-160.0,1092.9,-19.84
-434.2,1001.6,-240.0,1112.21,-16.02
-371.4,1032.2,-320.0,1127.07,-12.35
