x_mm,y_mm,speed_mms,distance_mm,angle_deg
-872.0,1774.0,480.0,1976.73,-26.18
-853.0,1713.0,790.0,1913.63,-26.47
-834.0,1654.0,640.0,1852.37,-26.76
-828.0,1586.0,560.0,1789.13,-27.57
-810.0,1522.0,480.0,1724.12,-28.02
-788.0,1468.0,560.0,1666.12,-28.23
-744.0,1429.0,390.0,1611.08,-27.5
-679.0,1402.0,390.0,1557.77,-25.84
-609.0,1386.0,390.0,1513.89,-23.72
-545.0,1356.0,480.0,1461.42,-21.9
-481.0,1331.0,480.0,1415.25,-19.87
-424.0,1298.0,480.0,1365.5,-18.09
-378.0,1262.0,480.0,1317.39,-16.67
-334.0,1216.0,480.0,1261.04,-15.36
-291.0,1172.0,320.0,1207.59,-13.94
-242.0,1128.0,240.0,1153.67,-12.11
-189.0,1087.0,160.0,1103.31,-9.86
-139.0,1038.0,80.0,1047.27,-7.63
-84.0,1008.0,-80.0,1011.49,-4.76
-24.0,990.0,-160.0,990.29,-1.39
