x_mm,y_mm,speed_mms,distance_mm,angle_deg
-55.6,1686.7,790.0,1595.69,-1.69
-56.0,1667.1,1280.0,1577.51,-1.45
-58.3,1646.5,790.0,1553.49,-2.51
-63.2,1625.3,560.0,1528.15,-3.68
-72.6,1602.0,160.0,1488.28,-5.67
-79.3,1577.5,-160.0,1460.53,-4.99
-83.6,1554.8,-160.0,1453.09,-4.3
-85.7,1533.6,-160.0,1451.85,-3.59
-85.6,1514.8,80.0,1452.55,-2.64
-84.3,1498.4,-80.0,1450.83,-1.94
-81.5,1484.3,-160.0,1454.12,-0.75
-72.2,1474.7,-790.0,1481.95,2.05
-54.4,1470.1,80.0,1510.01,4.18
-33.0,1466.6,160.0,1494.51,4.45
-7.1,1466.3,80.0,1482.24,4.33
16.1,1468.4,80.0,1479.73,4.07
37.2,1471.0,80.0,1478.52,3.96
56.2,1473.5,80.0,1477.32,3.84
72.2,1475.5,160.0,1473.94,3.62
85.8,1477.4,160.0,1471.57,3.39
