x_mm,y_mm,speed_mms,distance_mm,angle_deg
148.0,2264.8,0.0,2281.12,3.44
142.8,2269.8,0.0,2226.16,3.5
139.0,2256.6,0.0,2177.25,3.58
136.8,2224.4,0.0,2132.34,3.66
136.2,2177.4,0.0,2091.43,3.73
136.0,2136.8,0.0,2078.45,3.75
136.8,2105.4,0.0,2069.74,3.88
138.6,2082.6,0.0,2064.1,4.03
141.8,2068.2,0.0,2061.61,4.23
146.0,2061.8,0.0,2060.99,4.37
150.6,2062.8,0.0,2085.07,4.37
154.6,2071.6,0.0,2115.06,4.34
157.6,2087.2,0.0,2142.98,4.28
159.4,2108.8,0.0,2169.98,4.25
160.2,2135.8,0.0,2195.91,4.2
161.0,2162.4,0.0,2218.0,4.21
162.2,2187.0,0.0,2238.16,4.25
163.8,2210.0,0.0,2258.26,4.27
165.2,2230.2,0.0,2271.22,4.24
167.2,2245.6,0.0,2273.44,4.31
