x_mm,y_mm,speed_mms,distance_mm,angle_deg
5.33,809.0,-560.0,862.93,2.66
39.33,858.0,-480.0,908.27,4.86
76.0,902.33,-480.0,946.53,6.73
109.0,940.0,-480.0,984.86,8.11
139.67,973.67,-480.0,1020.1,9.54
168.0,1003.67,-480.0,1048.48,10.77
195.67,1036.33,-390.0,1095.72,11.69
218.67,1076.33,-480.0,1150.88,11.93
237.0,1129.0,-560.0,1214.23,11.93
252.0,1184.0,-880.0,1266.46,12.17
262.33,1239.0,-1120.0,1318.73,11.77
268.67,1295.67,-1440.0,1384.58,11.25
268.33,1358.67,-960.0,1451.58,10.56
267.33,1429.0,-560.0,1525.37,10.04
267.33,1499.33,-720.0,1592.06,9.76
273.0,1571.0,-1520.0,1666.21,9.78
279.0,1648.0,240.0,1756.12,9.31
279.0,1741.33,-390.0,1868.61,8.31
271.0,1860.33,-480.0,2015.71,7.38
264.33,2003.0,-240.0,2177.07,6.97
