x_mm,y_mm,speed_mms,distance_mm,angle_deg
-336.3,5220.7,80.0,5295.56,-3.26
-328.6,5235.0,80.0,5309.37,-3.22
-321.6,5249.0,80.0,5321.18,-3.18
-315.3,5262.4,0.0,5329.06,-3.15
-309.7,5275.1,0.0,5335.0,-3.14
-304.5,5286.7,80.0,5336.78,-3.09
-299.5,5297.1,80.0,5336.46,-3.03
-293.1,5305.3,80.0,5325.4,-2.81
-285.3,5310.5,80.0,5311.29,-2.56
-276.1,5312.5,80.0,5297.32,-2.32
-265.2,5311.9,80.0,5284.49,-2.08
-252.4,5308.8,80.0,5272.74,-1.85
-238.1,5303.3,0.0,5260.2,-1.66
-222.4,5295.8,0.0,5247.76,-1.49
-205.3,5286.5,0.0,5235.4,-1.32
-187.1,5275.9,0.0,5224.08,-1.16
-168.1,5264.3,0.0,5213.81,-1.01
-149.8,5252.6,0.0,5202.58,-0.86
-132.5,5241.3,0.0,5193.39,-0.71
-116.7,5230.5,160.0,5185.3,-0.62
