x_mm,y_mm,speed_mms,distance_mm,angle_deg
-730.0,889.0,-560.0,1150.31,-39.39
-774.0,908.0,-390.0,1193.12,-40.45
-813.0,953.0,-320.0,1252.67,-40.47
-832.0,998.0,-240.0,1299.32,-39.82
-852.0,1030.0,-320.0,1336.71,-39.6
-874.0,1050.0,-390.0,1366.15,-39.77
-883.0,1074.0,-160.0,1390.38,-39.43
-904.0,1111.0,-240.0,1432.32,-39.13
-902.0,1134.0,-160.0,1448.99,-38.5
-898.0,1180.0,-240.0,1482.84,-37.27
-880.0,1219.0,-80.0,1503.45,-35.83
-856.0,1251.0,-80.0,1515.83,-34.38
-830.0,1272.0,-80.0,1518.84,-33.13
-822.0,1298.0,-80.0,1536.39,-32.35
-815.0,1328.0,-80.0,1558.14,-31.54
-806.0,1341.0,-80.0,1564.58,-31.01
-798.0,1340.0,0.0,1559.62,-30.77
-791.0,1348.0,240.0,1562.94,-30.4
-784.0,1361.0,240.0,1570.66,-29.94
-770.0,1380.0,320.0,1580.28,-29.16
